ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1987,307954,3.16E+05,,694143000,,55292.926,0.191,0.179549303,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1988,311111,3.18E+05,,421727000,,48131.16,0.152,0.154707355,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1989,280124,2.85E+05,,129789000,,39637.527,0.144,0.141499932,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1990,256140,2.61E+05,,328330000,,63034.652,0.256,0.246094526,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1991,305565,3.13E+05,,126824000,,32413.385,0.125,0.10607689,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1992,312519,3.20E+05,,340539000,,37720.645,0.143,0.120698726,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1993,263007,2.72E+05,,222791000,,26564.949,0.112,0.101004722,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1994,258095,2.66E+05,,352237000,,60104.527,0.27,0.232877533,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1995,199159,2.05E+05,,627981000,,63068.367,0.34,0.316673447,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1996,172077,1.77E+05,,537708000,,50243.613,0.358,0.291983316,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1997,154496,1.57E+05,,471290000,,38373.09,0.296,0.248375945,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1998,168762,1.66E+05,,761933000,,43435.895,0.331,0.257379594,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,1999,218429,2.07E+05,,552217000,,55736.324,0.386,0.255169066,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2000,252411,2.21E+05,,896001000,,58287.109,0.304,0.23092143,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2001,266401,2.11E+05,,362001000,,54087.5,0.274,0.203030394,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2002,333454,2.33E+05,,240205000,,53787.402,0.248,0.161303814,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2003,367037,2.57E+05,,289875000,,61360.531,0.3,0.167178053,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2004,416422,2.78E+05,,,,43639.891,0.186,0.104797275,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2005,398269,2.88E+05,,,,59932.566,0.246,0.150482629,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2006,359191,2.69E+05,,,,53671.078,0.226,0.149422112,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2007,316092,2.35E+05,,,,48176.684,0.224,0.152413487,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2008,,2.75E+05,,,,41819.102,0.199,,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2009,,3.06E+05,,,,46468.848,0.174,,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2010,,2.50E+05,,,,46900.445,0.208,,N Atlantic,W
HERR4TFA,Herring,Herring NAFO 4T fall spawners,Clupea harengus,2011,,2.03E+05,,,,38801.316,0.212,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1974,,,,159760000,,,,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1975,,,,30008000,,,,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1976,,,,26420000,,,,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1977,,,,17034000,,,,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1978,81756,67693.523,,17223000,,19981.037,0.197,0.244398417,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1979,43346,48555.941,,112559000,,26869.09,0.342,0.619874729,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1980,24268,24181.277,,164365000,,17877.717,0.767,0.73667863,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1981,8909,11515.358,,172952000,,7105.384,0.61,0.79755124,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1982,7085,10015.14,,211030000,,6579.798,0.352,0.928694143,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1983,26209,27351.67,,85257000,,9656.982,0.081,0.368460529,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1984,47380,47534.305,,57363000,,5744.986,0.083,0.121253398,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1985,73091,71907.008,,86932000,,10146.104,0.137,0.138814683,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1986,104420,1.03E+05,,103660000,,17039.018,0.238,0.163177725,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1987,97303,94998.289,,141021000,,22483.043,0.342,0.231062177,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1988,78326,75987.695,,358576000,,24171.631,0.356,0.308602903,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1989,65304,63192.852,,177012000,,19549.289,0.309,0.299358217,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1990,61085,59627.883,,120205000,,13113.894,0.257,0.214682721,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1991,66851,65603.367,,415931000,,15605.203,0.289,0.233432604,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1992,103238,99991.195,,51543000,,16607.27,0.238,0.160863926,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1993,102182,97774.062,,95982000,,21137.232,0.301,0.206858664,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1994,90631,84653.016,,82869000,,23218.67,0.344,0.256189052,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1995,125698,1.18E+05,,80565000,,25959.4,0.392,0.206521981,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1996,97091,89776.812,,77035000,,21457.152,0.321,0.221000422,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1997,82128,74917.234,,115991000,,17328.309,0.264,0.210991489,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1998,69173,62579.484,,48341000,,15326.121,0.201,0.221562185,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,1999,57910,52562.395,,62179000,,14901.179,0.283,0.257316163,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2000,48326,44459.641,,20915000,,17765.893,0.459,0.367625978,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2001,44635,38114.969,,94257000,,14223.41,0.483,0.318660468,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2002,32879,28488.553,,75644000,,10002.188,0.427,0.30421205,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2003,30161,24665.723,,67489000,,8918.439,0.47,0.295694407,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2004,21431,16910.682,,,,8300.475,0.645,0.387311605,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2005,25826,13802.806,,,,4729.792,0.628,0.183140711,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2006,30248,12261.562,,,,2390.665,0.282,0.079035473,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2007,35561,12802.658,,,,4240.185,0.452,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2008,,14193.487,,,,3192.901,0.212,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2009,,14541.193,,,,1712.41,0.162,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2010,,18147.191,,,,1251.003,0.122,,N Atlantic,W
HERR4TSP,Herring,Herring NAFO 4T spring spawners,Clupea harengus,2011,,17320.895,,,,1371.095,0.095,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1964,,,,3503534000,,,,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1965,448078,300889,,2737874000,,,0.15,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1966,576761,425447,,6078739000,,,0.45,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1967,630063,489845,,1286168000,,,0.38,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1968,626797,489645,,1754254000,,,0.43,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1969,540430,461373,,2304087000,,,0.31,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1970,493215,435280,,7460417000,,,0.49,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1971,418839,326339,,1138007000,,,0.51,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1972,427933,257782,,2336523000,,,0.69,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1973,498727,316858,,1625829000,,,0.54,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1974,576167,466828,,247148000,,,0.34,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1975,516875,461061,,721820000,,,0.44,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1976,389059,357084,,4140081000,,,0.41,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1977,341890,292120,,1346539000,,,0.57,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1978,264317,185307,,449147000,,,0.98,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1979,262852,167544,,1572597000,,,0.68,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1980,368282,304527,,1669558000,,,0.27,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1981,362179,311026,,2302838000,,,0.63,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1982,320454,246240,,4078526000,,,0.59,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1983,348357,245507,,5027282000,,,0.55,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1984,424424,276947,,1831381000,,,0.59,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1985,582291,376214,,1059694000,,,0.51,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1986,762585,566868,,1397308000,,,0.17,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1987,819446,714331,,1401917000,,,0.22,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1988,702333,641945,,1744614000,,,0.38,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1989,558575,507688,,1185719000,,,0.23,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1990,517598,461548,,579910000,,,0.51,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1991,404647,344924,,824078000,,,0.41,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1992,340460,296235,,1669807000,,,0.61,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1993,244961,201234,,877050000,,,0.73,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1994,180827,126506,,1031470000,,,1.07,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1995,156145,99626,,913346000,,,0.94,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1996,160550,114716,,1190194000,,,0.74,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1997,179192,127988,,619421000,,,0.65,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1998,181261,133106,,1700724000,,,1.17,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,1999,163985,115311,,695211000,,,0.89,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2000,163627,90187,,1320249000,,,1.33,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2001,167955,89698,,1827341000,,,1.08,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2002,165906,89721,,1109406000,,,1.67,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2003,153543,72844,,419699000,,,2.06,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2004,115745,63123,,1000000000,,,2.46,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2005,96293,54780,,1000000000,,,1.21,,N Atlantic,W
HERR4VWX,Herring,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,2006,91734,48646,,,,,,,N Atlantic,W
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1951,72203.51,29745.51,,2632700000,42458,,0.662,0.588032355,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1952,48630.65,15435.65,,223500000,33195,,0.882,0.682594208,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1953,21552.64,20784.64,,199400000,768,,0.024,0.035633686,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1954,65748.74,41132.74,,390100000,24616,,0.324,0.374395007,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1955,64722.69,53128.69,,598700000,11594,,0.134,0.179133469,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1956,59407.14,15780.14,,761200000,43627,,1.066,0.734373006,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1957,29643.34,6382.34,,215600000,23261,,1.28,0.784695652,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1958,31847.48,21998.48,,386200000,9849,,0.284,0.309255238,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1959,37564.37,9694.37,,924500000,27870,,1.16,0.741926459,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1960,44144.97,40107.97,,604300000,4037,,0.075,0.091448697,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1961,45139.8,13435.8,,449100000,31704,,1.038,0.702351362,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1962,36834.38,21125.38,,228100000,15709,,0.448,0.426476569,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1963,52848.54,8794.54,,261900000,44054,,1.53,0.833589726,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1964,47863.08,15968.08,,346600000,31895,,0.852,0.666380016,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1965,21287.49,5617.49,,186300000,15670,,1.039,0.736113088,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1966,43323.05,5841.05,,129100000,37482,,1.646,0.865174543,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1967,30842.99,8952.99,,373400000,21890,,0.945,0.709723668,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1968,13487.5,11959.5,,288500000,1528,,0.075,0.113290083,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1969,4728,4728,,310500000,0,,0,0,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1970,32634.17,32425.17,,541400000,209,,0.004,0.00640433,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1971,27653.47,24039.47,,453100000,3614,,0.104,0.130688843,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1972,18226.57,9334.57,,615500000,8892,,0.642,0.487859208,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1973,30994.57,23195.57,,355300000,7799,,0.274,0.25162472,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1974,24754.5,15866.5,,328000000,8888,,0.414,0.35904583,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1975,47037.75,38299.75,,538000000,8738,,0.182,0.185765688,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1976,43662.66,31251.66,,352600000,12411,,0.305,0.284247455,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1977,37814.9,26709.9,,2460200000,11105,,0.317,0.293667311,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1978,26798.68,12752.68,,483300000,14046,,0.716,0.524130293,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1979,14735.06,14730.06,,383800000,5,,0,0.000339327,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1980,13130.26,12592.26,,163400000,538,,0.033,0.040974055,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1981,82818.06,80245.06,,148000000,2573,,0.027,0.031068103,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1982,73959.8,67588.8,,445700000,6371,,0.084,0.08614139,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1983,51915.77,46275.77,,235800000,5640,,0.109,0.10863751,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1984,40035.88,32864.88,,386300000,7171,,0.186,0.179114334,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1985,38966.61,33757.61,,1825500000,5209,,0.13,0.133678552,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1986,33348.06,29962.06,,167700000,3386,,0.099,0.101535142,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1987,27523.44,23908.44,,128600000,3615,,0.129,0.131342594,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1988,44935.14,40408.14,,344500000,4527,,0.094,0.100745207,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1989,50321.64,40879.64,,1460200000,9442,,0.19,0.187632994,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1990,38780.35,30429.35,,234700000,8351,,0.23,0.215341017,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1991,33473.15,24570.15,,305200000,8903,,0.291,0.265974371,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1992,46636.17,38274.17,,124900000,8362,,0.183,0.179302889,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1993,52516.59,42000.59,,382200000,10516,,0.21,0.200241486,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1994,53946.17,42067.17,,1308100000,11879,,0.235,0.220200989,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1995,31924.08,22342.08,,1390000000,9582,,0.339,0.300149605,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1996,22593.65,18294.65,,293000000,4299,,0.198,0.190274701,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1997,28033.17,24413.17,,495600000,3620,,0.127,0.129132738,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1998,36825.58,28223.58,,230600000,8602,,0.247,0.233587631,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,1999,40168.8,32704.8,,582500000,7464,,0.191,0.185815857,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2000,41583.21,34217.21,,1362200000,7366,,0.182,0.177138802,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2001,29091.33,22961.33,,367300000,6130,,0.222,0.210715701,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2002,24550.96,21257.96,,1044900000,3293,,0.132,0.134129175,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2003,24171.04,21583.04,,251600000,2588,,0.103,0.107070279,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2004,25103.73,22116.73,,274300000,2987,,0.118,0.118986302,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2005,25471.52,21692.52,,,3779,,0.148,0.148361778,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2006,17186.07,14114.07,,,3072,,0.18,0.178749417,N Pacific,E
HERRCC,Pacific herring,Pacific herring Central Coast,Clupea pallasii,2007,11170.53,10772.53,,,398,,0.033,0.035629464,N Pacific,E
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1984,,,,530000000,,,,,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1985,,,,271000000,,,,,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1986,,,,448000000,,,,,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1987,504000,384000,,301000000,,75000,0.35,0.148809524,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1988,495000,423000,,842000000,,93000,0.27,0.187878788,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1989,459000,386000,,1040000000,,101000,0.32,0.220043573,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1990,410000,350000,,638000000,,104000,0.4,0.253658537,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1991,424000,310000,,694000000,,107000,0.44,0.252358491,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1992,503000,344000,,204000000,,107000,0.41,0.212723658,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1993,547000,425000,,183000000,,103000,0.25,0.188299817,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1994,555000,442000,,778000000,,134000,0.31,0.241441441,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1995,464000,408000,,326000000,,125000,0.34,0.269396552,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1996,350000,310000,,565000000,,96000,0.36,0.274285714,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1997,371000,271000,,404000000,,65000,0.25,0.175202156,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1998,371000,302000,,492000000,,86000,0.28,0.23180593,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,1999,379000,294000,,1680000000,,93000,0.37,0.245382586,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2000,396000,313000,,1190000000,,100000,0.33,0.252525253,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2001,360000,281000,,643000000,,94000,0.4,0.261111111,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2002,562000,317000,,1190000000,,96000,0.39,0.170818505,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2003,648000,436000,,678000000,,129000,0.26,0.199074074,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2004,693000,560000,,823000000,,112000,0.2,0.161616162,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2005,818000,608000,,597000000,,102000,0.21,0.124694377,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2006,895000,719000,,571000000,,130000,0.12,0.145251397,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2007,819000,665000,,529000000,,158000,0.25,0.192918193,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2008,829000,688000,,567000000,,151000,0.25,0.182147165,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2009,797000,542000,,,,46000,0.08,0.057716437,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2010,601000,386000,,,,43000,0.13,0.071547421,N Atlantic,W
HERRIsum,Herring,Herring Iceland (Summer spawners),Clupea harengus,2011,,218000,,,,,,,N Atlantic,W
