ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
BMACKECS,Blue mackerel,Blue mackerel East China Sea,Scomber australasicus,2007,130000,54000,,214000,55000,,,0.423076923,N Pacific,W
BMACKECS,Blue mackerel,Blue mackerel East China Sea,Scomber australasicus,2008,113000,44000,,225000,50000,,,0.442477876,N Pacific,W
BMACKECS,Blue mackerel,Blue mackerel East China Sea,Scomber australasicus,2009,124000,41000,,293000,44000,,,0.35483871,N Pacific,W
BMACKECS,Blue mackerel,Blue mackerel East China Sea,Scomber australasicus,2010,132000,47000,,244000,40000,,,0.303030303,N Pacific,W
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1977,,,,1.64E+11,,,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1978,,,,60000000000,,,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1979,,600000,,66000000000,,2215000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1980,,300000,,49000000000,,1195000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1981,,170000,,1.46E+11,,980000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1982,,140000,,1.24E+11,,684000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1983,,260000,,2.51E+11,,626000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1984,,440000,,99000000000,,0,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1985,,460000,,1.56E+11,,573000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1986,,460000,,1.44E+11,,897000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1987,,420000,,81000000000,,1312000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1988,,400000,,64000000000,,1333000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1989,,440000,,1.18E+11,,1116000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1990,,115000,,1.33E+11,,1037000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1991,,330000,,1.63E+11,,808000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1992,,475000,,1.44E+11,,314000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1993,,499000,,2.24E+11,,677000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1994,,460000,,1.97E+11,,788000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1995,,420000,,1.91E+11,,1179000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1996,,830000,,1.65E+11,,864000,,,N Atlantic,E
CAPEICE,Capelin,Capelin Iceland,Mallotus villosus,1997,,430000,,1.68E+11,,929000,,,N Atlantic,E
